id,en,cn,class
2,The China Construction Bank's credit limit increases are very slow...,建设银行的信用额度提升得非常慢……,0
18,"Show off my ""broken"" card, my Cat Card from China Merchants Bank.",晒晒我的“断”卡，这张来自招商银行的猫咪卡。,2
27,"The moderator works hard! Why can some people get a full cash installment, while I can only get half? Is it due to different card types or something else? Looking for your advice, thank you!",版主辛苦了！为什么有的人可以享受全额现金分期，而我只能申请一半？是因为卡种不同，还是其他原因？请指教，谢谢！,2
29,"Industrial Bank Pass Card, 67k",兴业银行Pass卡，67k,2
33,I already have 7 accounts and 9 cards. I'm worried they won't issue more if I close any.,我现在有7个账户和9张卡，担心要是关了其中的任何一张，就不再给我办了。,2
70,Global payments,全球支付,2
72,Is Global Payment Visa or UnionPay?,全球支付是VISA还是银联？,2
73,"The more we share our experiences, the better. How do mutual funds make money?",多交流经验是很重要的。基金是怎么盈利的呢？,2
81,"I also applied on the 4th, and it's still under review.",我也是4号申请的，现在还在审核中。,2
83,"Currently, I have over 40,000 in quick loans and seven credit cards.",目前我有超过4万的快贷和7张信用卡。,2
86,"If you have six to seven lines of credit and a slightly blemished credit history, there's a possibility that your approval was a favor!",如果你的信用卡有六七条以上，并且信用记录稍微有点瑕疵，有可能是放款的通融！,2
91,CCB is really your true love! But it really is quite useful!,建行真的是你的真爱啊！不过它确实很好用！,1
93,Maybe we should try again in six months. The limit will probably be higher then.,也许我们等到六个月后再试试，到时候额度可能会高一些。,2
97,There are a lot of things like this at the CCB today?? I don’t understand what they’re for?? I guess I’ll have to go to the counter to withdraw cash and cancel my card. ,今天建行有好多这样的事情?? 我真搞不懂这些是干嘛的?? 我想我得去柜台取钱然后销卡了。,0
99,What is the total transaction volume for a month?,一个月的交易总额是多少？,2
103,The credit union's cards are not easy to monitor for risk?,信用社的卡不容易被风控吗？,2
110,What are the requirements to apply for a credit card at China Merchants Bank?,申请招商银行信用卡需要什么条件？,2
113,This time it's a total scam.,这次真的是被坑了。,0
123,"Wishing the original poster good luck with the card approval. Once it's approved, please let me know so I can check if there are any benefits.",提前祝楼主卡片审批顺利，一旦下来了，麻烦通知我一下，这样我可以看看有没有好处。,1
126,"The documents required for offline applications are the same, right? Is there an advantage to applying offline? The standards should be the same.",线下申请需要的资料也是一样的吧？难道线下申请有优势？标准不应该都是一样的嘛。,2
143,"I regret it; I didn't understand at the time and applied haphazardly. Back then, I didn't know about the high fees.",我后悔了，当时不懂，乱申请的，那个时候我还不知道手续费那么高。,2
145,"It's fine, but once the credit limit is set at fifty thousand, it's tough to increase it.",可以，然而一旦信用额度定在五万，提升就很难了。,2
153,"Yes, I can't go up there, but I'm afraid I won't hold a grudge in the future. Card",是的，我不能去那里，但我担心将来不会心存怨恨。卡,0
167,Is it necessary to apply for a mortgage now?,现在有必要申请贷款吗？,2
183,It depends on your own needs; you can also apply for both. The credit limits won't be low.,这要看你自己的需求了，也可以同时申请两个。额度不会低。,2
194,The interest rate for my installment plan just dropped this month from 0.4 to 0.25.,我这个月的分期计划利率刚刚从0.4降到0.25。,2
200,"I've been going back and forth lately. Are you just keeping me hanging, Pudong Development Bank?",我最近一直在这里来回游动。你是在吊我胃口吗，浦发银行？,2
208,You can pay for faster shipping services yourself.,你可以自己出钱选择更快的快递服务。,2
216,"Charging 100,000 directly to the hospital? Wouldn't that raise concerns with the bank?",直接在医院消费十万，这样会不会引起建行的关注？,2
232,"Having overdue records on your credit card from a bank will definitely impact your credit report, making it difficult to get approved.",你有银行信用卡逾期记录，肯定会影响你的信用报告，这样很难申请下来。,2
241,"I have done cash installments twice, but my money has been sitting in my savings account. Then I received a risk notification text saying I violated the rules. I immediately called to confront them, and now when they call me to do business, I push back on them all. It's infuriating...",我做过两次现金分期，但我的钱一直在储蓄卡里。然后我收到了一条风险通知短信，告诉我违规操作。我立即打电话去理论，现在他们打电话来想要办业务，我全都怼回去。真让人恶心...,0
